speed,speedForward,speedAbs,yaw,steer,surfaceMu,distToCenterline,progress,offTrack,posX,posY,heading0,heading1,heading2,curv0,curv1,curv2,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,ray16,ray17,ray18,ray19,ray20,ray21,ray22,ray23,ray24,ray25,ray26,ray27,ray28,ray29,ray30,ray31,targetThrottle,targetBrake,targetSteer,targetHandbrake,dt,carIndex,isAI,sourceTag
5.418050,5.418050,5.418050,-34.672478,-0.121325,1.200000,0.359575,0.387500,0,27.640284,-46.111778,-0.052004,-0.288600,-0.267808,-0.018729,-0.063128,-0.037561,0.078890,0.084679,0.128561,0.528145,0.433090,0.343205,0.238522,0.204689,0.101113,0.108532,0.164776,0.514101,0.410106,0.323621,0.212626,0.182466,0.084722,0.090939,0.138065,0.279729,0.471301,0.371911,0.237706,0.203989,0.106945,0.114792,0.174280,0.564184,0.446483,0.352327,0.211811,0.181767,0.200000,0.000000,-0.116450,0,0.016667,0,1,scripted_ai
5.420839,5.420839,5.420839,-34.676704,-0.116450,1.200000,0.301348,0.387500,0,27.550407,-46.103718,-0.049057,-0.287496,-0.265444,-0.017959,-0.063497,-0.037467,0.078317,0.083870,0.126857,0.524347,0.429124,0.340605,0.239180,0.204748,0.100539,0.107669,0.162853,0.510148,0.407581,0.320924,0.213221,0.182526,0.084340,0.090321,0.136613,0.274626,0.468892,0.369199,0.238143,0.203860,0.106562,0.114119,0.172609,0.560285,0.443896,0.349518,0.212184,0.181638,0.200000,0.000000,-0.111860,0,0.016667,0,1,scripted_ai
5.423611,5.423611,5.423611,-34.680763,-0.111860,1.200000,0.262259,0.387500,0,27.460516,-46.095306,-0.046257,-0.286583,-0.263249,-0.017219,-0.063915,-0.037396,0.077727,0.083055,0.125175,0.520463,0.425131,0.337987,0.239840,0.204826,0.099949,0.106800,0.160963,0.506115,0.404994,0.318212,0.213819,0.182603,0.083934,0.089687,0.135171,0.269726,0.466128,0.366473,0.238589,0.203758,0.106156,0.113432,0.170958,0.556305,0.441248,0.346698,0.212568,0.181536,0.200000,0.000000,-0.107526,0,0.016667,0,1,scripted_ai
5.426366,5.426366,5.426366,-34.684666,-0.107526,1.200000,0.251454,0.387500,0,27.370613,-46.086540,-0.043590,-0.285852,-0.261210,-0.016503,-0.064382,-0.037345,0.077119,0.082230,0.123510,0.516500,0.421114,0.335352,0.240502,0.204922,0.099341,0.105925,0.159101,0.502007,0.402348,0.315486,0.214421,0.182700,0.083503,0.089037,0.133734,0.265002,0.462077,0.363733,0.239045,0.203681,0.105725,0.112732,0.169325,0.552248,0.438544,0.343868,0.212965,0.181458,0.200000,0.000000,-0.103431,0,0.016667,0,1,scripted_ai
5.429104,5.429104,5.429104,-34.688419,-0.103431,1.200000,0.272366,0.387500,0,27.280701,-46.077419,-0.041048,-0.285296,-0.259319,-0.015811,-0.064897,-0.037314,0.076493,0.081397,0.121860,0.512459,0.417074,0.332702,0.241168,0.205037,0.098715,0.105043,0.157262,0.497826,0.399648,0.312749,0.215030,0.182814,0.083048,0.088371,0.132302,0.260438,0.458004,0.360982,0.239512,0.203628,0.105270,0.112018,0.167704,0.548116,0.435787,0.341029,0.213373,0.181406,0.200000,0.000000,-0.099562,0,0.016667,0,1,scripted_ai
5.431827,5.431827,5.431827,-34.692032,-0.099562,1.200000,0.318849,0.387500,0,27.190779,-46.067947,-0.038622,-0.284908,-0.257570,-0.015141,-0.065460,-0.037304,0.075850,0.080554,0.120223,0.508345,0.413011,0.330037,0.241839,0.205169,0.098072,0.104154,0.155445,0.493575,0.396895,0.310000,0.215645,0.182947,0.082568,0.087688,0.130871,0.558684,0.453909,0.358220,0.239989,0.203600,0.104790,0.111289,0.166094,0.543914,0.432979,0.338183,0.213795,0.181378,0.200000,0.000000,-0.095904,0,0.016667,0,1,scripted_ai
5.434532,5.434532,5.434532,-34.695515,-0.095904,1.200000,0.381701,0.387500,0,27.100849,-46.058128,-0.036301,-0.284678,-0.255950,-0.014488,-0.066071,-0.037312,0.075188,0.079700,0.118594,0.504162,0.408928,0.327359,0.242514,0.205319,0.097410,0.103256,0.153645,0.489260,0.394094,0.307241,0.216267,0.183097,0.082065,0.086990,0.129441,0.554547,0.449795,0.355448,0.240478,0.203595,0.104287,0.110545,0.164492,0.539645,0.430124,0.335330,0.214230,0.181373,0.200000,0.000000,-0.092446,0,0.016667,0,1,scripted_ai
5.437222,5.437222,5.437222,-34.698872,-0.092446,1.200000,0.454197,0.387500,0,27.010914,-46.047970,-0.034081,-0.284604,-0.254458,-0.013852,-0.066731,-0.037338,0.074509,0.078837,0.116973,0.499911,0.404824,0.324670,0.243196,0.205487,0.096731,0.102350,0.151860,0.484882,0.391246,0.304472,0.216895,0.183265,0.081539,0.086275,0.128009,0.550341,0.445662,0.352667,0.240978,0.203613,0.103761,0.109788,0.162897,0.535312,0.427224,0.332470,0.214678,0.181391,0.200000,0.000000,-0.089169,0,0.016667,0,1,scripted_ai
5.439895,5.439895,5.439895,-34.702110,-0.089169,1.200000,0.404680,0.390625,0,26.920973,-46.037472,-0.066107,-0.370075,-0.180473,-0.022795,-0.081579,-0.026277,0.073812,0.077962,0.115358,0.495597,0.400701,0.321969,0.243883,0.205672,0.096035,0.101434,0.150089,0.480443,0.388355,0.301695,0.217532,0.183450,0.080990,0.085543,0.126575,0.546071,0.441511,0.349878,0.241490,0.203654,0.103212,0.109015,0.161306,0.530917,0.424281,0.329604,0.215139,0.181432,0.200000,0.000000,-0.142697,0,0.016667,0,1,scripted_ai
5.442552,5.442552,5.442552,-34.707317,-0.142697,1.200000,0.327260,0.390625,0,26.831026,-46.026623,-0.062338,-0.368834,-0.176625,-0.021837,-0.082091,-0.025890,0.073080,0.076971,0.113392,0.492176,0.396928,0.319635,0.244960,0.205942,0.095302,0.100377,0.147873,0.476821,0.384545,0.299237,0.218527,0.183719,0.080494,0.084781,0.124898,0.542721,0.437691,0.347402,0.242284,0.203692,0.102717,0.108186,0.159379,0.527366,0.422125,0.327005,0.215851,0.181469,0.200000,0.000000,-0.136763,0,0.016667,0,1,scripted_ai
5.445192,5.445192,5.445192,-34.712307,-0.136763,1.200000,0.258786,0.390625,0,26.741077,-46.015408,-0.058768,-0.367849,-0.172987,-0.020919,-0.082669,-0.025529,0.072329,0.075975,0.111459,0.488648,0.393120,0.317275,0.246035,0.206229,0.094551,0.099318,0.145704,0.473099,0.380611,0.296759,0.219523,0.184007,0.079972,0.084003,0.123237,0.539261,0.433839,0.344905,0.243085,0.203757,0.102194,0.107346,0.157482,0.523712,0.419892,0.324389,0.216574,0.181535,0.200000,0.000000,-0.131183,0,0.016667,0,1,scripted_ai
